        Treebank: ar |   smf |      dlx-ar |      dlx-pl | dlx-id-ud11 | dlx-he-ud11
                     |       |             |             |             |            
        Treebank: ro |   smf |      dlx-ro | dlx-es-ud11 | dlx-hr-ud11 |      dlx-la
       10 sentences: | 48.94 |       43.26 |       33.57 |       34.44 |       26.82
       20 sentences: | 55.08 |       50.46 |       37.81 |       42.85 |       32.58
       50 sentences: | 68.00 |       61.22 |       40.16 |       46.44 |       38.79
      100 sentences: | 74.25 |       66.44 |       45.42 |       49.10 |       41.82
      200 sentences: | 76.56 |       69.63 |       45.04 |       49.74 |       41.56
      500 sentences: | 80.16 |       72.92 |       48.38 |       49.29 |       46.86
     1000 sentences: | 80.88 |       73.60 |       50.46 |       48.79 |       48.19
     2000 sentences: | 82.43 |       74.55 |       52.62 |       52.88 |       45.91
     5000 sentences: | 83.22 |       75.65 |       54.66 |       54.02 |       46.60
         ~ smf sents |       |         161 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: ru |   smf |      dlx-ru |      dlx-sk | dlx-hr-ud11 |      dlx-pl
       10 sentences: | 32.48 |       29.04 |       13.60 |       25.57 |       25.54
       20 sentences: | 41.88 |       34.19 |       17.99 |       30.83 |       26.90
       50 sentences: | 48.39 |       39.57 |       28.40 |       36.24 |       26.58
      100 sentences: | 54.17 |       42.95 |       30.63 |       37.69 |       28.55
      200 sentences: | 57.00 |       45.38 |       34.30 |       37.89 |       31.44
      500 sentences: | 62.73 |       46.59 |       38.32 |       38.87 |       31.76
     1000 sentences: | 65.85 |       49.20 |       38.90 |       38.96 |       34.79
     2000 sentences: | 69.87 |       49.92 |       40.49 |       41.82 |       34.53
     5000 sentences: | 75.86 |       52.72 |       44.31 |       41.99 |       36.18
         ~ smf sents |       |          87 |          31 |          21 |     USELESS
                     |       |             |             |             |            
        Treebank: sk |   smf |      dlx-sk | dlx-hr-ud11 |      dlx-sl |      dlx-pl
       10 sentences: | 21.55 |       20.44 |       28.69 |       28.46 |       26.11
       20 sentences: | 27.58 |       25.07 |       32.64 |       30.94 |       29.12
       50 sentences: | 41.56 |       35.56 |       36.18 |       35.29 |       32.27
      100 sentences: | 46.35 |       38.93 |       38.73 |       38.63 |       35.45
      200 sentences: | 51.17 |       40.88 |       39.83 |       38.87 |       36.19
      500 sentences: | 57.16 |       46.21 |       41.16 |       43.02 |       39.06
     1000 sentences: | 51.14 |       42.11 |       42.61 |       43.91 |       37.27
     2000 sentences: | 66.57 |       53.17 |       43.89 |       43.52 |       40.90
     5000 sentences: | 70.91 |       55.76 |       44.44 |       43.52 |       42.02
         ~ smf sents |       |        1299 |          80 |          70 |          55
                     |       |             |             |             |            
        Treebank: sl |   smf |      dlx-sl | dlx-hr-ud11 | dlx-bg-ud11 | dlx-fi-ud11
       10 sentences: | 34.40 |       31.88 |       31.19 |       18.61 |       10.05
       20 sentences: | 42.65 |       37.77 |       35.25 |       21.15 |       20.55
       50 sentences: | 55.69 |       44.68 |       38.86 |       32.13 |       26.30
      100 sentences: | 61.57 |       48.41 |       41.60 |       35.37 |       32.07
      200 sentences: | 65.29 |       50.91 |       41.85 |       44.21 |       35.03
      500 sentences: | 72.49 |       58.93 |       44.54 |       47.53 |       36.55
     1000 sentences: | 74.87 |       60.40 |       44.15 |       42.40 |       36.81
     2000 sentences: | 75.39 |       61.82 |       45.42 |       43.65 |       40.18
     5000 sentences: | 75.39 |       61.82 |       47.85 |       43.87 |       41.32
         ~ smf sents |       |         107 |          32 |          23 |     USELESS
                     |       |             |             |             |            
   Treebank: sv-ud11 |   smf | dlx-sv-ud11 | dlx-da-ud11 | dlx-en-ud11 | dlx-hr-ud11
       10 sentences: | 27.64 |       30.87 |       30.19 |       34.30 |       28.17
       20 sentences: | 35.27 |       35.97 |       39.50 |       35.24 |       33.44
       50 sentences: | 49.67 |       45.56 |       45.67 |       41.65 |       38.88
      100 sentences: | 60.04 |       51.57 |       48.34 |       43.85 |       42.47
      200 sentences: | 63.82 |       55.05 |       49.94 |       47.24 |       42.11
      500 sentences: | 70.68 |       59.39 |       52.35 |       47.70 |       44.26
     1000 sentences: | 74.66 |       61.67 |       54.02 |       49.23 |       44.46
     2000 sentences: | 78.48 |       65.72 |       55.88 |       50.46 |       46.53
     5000 sentences: | 82.42 |       69.49 |       57.19 |       49.71 |       47.67
         ~ smf sents |       |         448 |          86 |          50 |          46
                     |       |             |             |             |            
        Treebank: ta |   smf |      dlx-ta |      dlx-hi | dlx-eu-ud11 | dlx-hu-ud11
       10 sentences: | 38.32 |       32.99 |       31.28 |       20.92 |        6.94
       20 sentences: | 48.77 |       45.15 |       30.77 |       24.74 |       10.26
       50 sentences: | 61.14 |       51.19 |       35.95 |       27.71 |       13.23
      100 sentences: | 67.27 |       53.80 |       37.81 |       29.52 |       12.57
      200 sentences: | 70.79 |       56.42 |       36.15 |       29.92 |       12.57
      500 sentences: | 72.70 |       57.17 |       38.11 |       31.98 |       14.64
     1000 sentences: | 72.70 |       57.17 |       38.77 |       32.38 |       17.45
     2000 sentences: | 72.70 |       57.17 |       38.11 |       33.84 |       19.31
     5000 sentences: | 72.70 |       57.17 |       37.56 |       32.68 |       19.31
         ~ smf sents |       |          40 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: te |   smf |      dlx-te |      dlx-bn |      dlx-tr |      dlx-ja
       10 sentences: | 39.07 |       30.56 |       34.90 |        4.51 |        4.85
       20 sentences: | 44.41 |       34.90 |       39.40 |       17.37 |        6.52
       50 sentences: | 48.92 |       39.40 |       38.24 |       32.56 |        7.68
      100 sentences: | 52.59 |       48.25 |       38.24 |       20.04 |        6.85
      200 sentences: | 57.43 |       48.25 |       41.74 |       28.05 |        9.19
      500 sentences: | 66.28 |       51.26 |       44.25 |       37.90 |       15.20
     1000 sentences: | 68.95 |       56.10 |       47.92 |       39.90 |       14.86
     2000 sentences: | 69.95 |       57.10 |       47.92 |       41.57 |       18.70
     5000 sentences: | 69.95 |       57.10 |       47.92 |       39.74 |       22.88
         ~ smf sents |       |         193 |          43 |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: tr |   smf |      dlx-tr |      dlx-ta |      dlx-la | dlx-hu-ud11
       10 sentences: | 42.13 |       32.47 |       13.63 |        9.40 |        7.25
       20 sentences: | 44.45 |       33.64 |       24.58 |       13.06 |       10.44
       50 sentences: | 55.11 |       43.97 |       28.10 |       15.89 |       11.70
      100 sentences: | 59.26 |       45.45 |       29.52 |       17.64 |       12.10
      200 sentences: | 63.64 |       50.95 |       28.52 |       20.70 |       11.51
      500 sentences: | 69.47 |       56.13 |       32.27 |       19.55 |       11.95
     1000 sentences: | 75.37 |       60.90 |       32.27 |       17.71 |       11.79
     2000 sentences: | 78.07 |       62.45 |       32.27 |       18.93 |       12.13
     5000 sentences: | 78.45 |       63.40 |       32.27 |       19.95 |       12.13
         ~ smf sents |       |         195 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
