       Treebank: ar-ud12 |               smf |        dlx-ar-ud12 |        dlx-he-ud12 |        dlx-pl-ud12 |       dlx-got-ud12 |    dlx-id-ud12 | dlx-grc-ud12proiel
             ~ smf sents |             13304 |                998 |                 36 |                 18 |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: hr-ud12 |               smf |        dlx-hr-ud12 |        dlx-sl-ud12 |        dlx-bg-ud12 |        dlx-cs-ud12 |    dlx-pl-ud12 |        dlx-it-ud12
           10 sentences: |             46.07 |              44.15 |              43.21 |              34.38 |              41.19 |          35.01 |              45.07
           20 sentences: |             51.23 |              52.42 |              48.32 |              35.33 |              44.83 |          37.27 |              44.76
           50 sentences: |             62.96 |              63.81 |              53.63 |              43.37 |              49.29 |          42.82 |              46.91
          100 sentences: |             66.70 |              67.50 |              58.70 |              46.43 |              51.01 |          44.81 |              48.76
          200 sentences: |             71.84 |              69.51 |              60.25 |              53.07 |              56.64 |          51.76 |              53.31
          500 sentences: |             75.91 |              73.02 |              63.06 |              55.62 |              58.55 |          53.58 |              53.10
         1000 sentences: |             77.63 |              75.42 |              63.98 |              53.99 |              55.69 |          54.94 |              52.03
         2000 sentences: |             81.12 |              77.97 |              64.17 |              51.74 |              57.02 |          54.50 |              53.90
         3557 sentences: |             82.57 |              78.38 |              64.61 |              53.24 |              59.40 |          55.33 |            (52.08)
         3557 sentences: |           (82.57) |            (78.38) |              64.71 |              60.37 |            (56.08) |        (54.14) |            (52.51)
             ~ smf sents |              3557 |               1215 |                 73 |                 43 |                 41 |             30 |                 27
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: hu-ud12 |               smf |        dlx-hu-ud12 |        dlx-bg-ud12 |        dlx-sv-ud12 |        dlx-et-ud12 |    dlx-sl-ud12 |        dlx-cs-ud12
           10 sentences: |             61.11 |              60.67 |              44.52 |              42.13 |              45.88 |          36.37 |              45.36
           20 sentences: |             66.54 |              67.16 |              48.85 |              50.39 |              51.34 |          38.06 |              45.44
           50 sentences: |             71.27 |              68.89 |              53.66 |              52.67 |              53.25 |          44.15 |              49.33
          100 sentences: |             74.65 |              72.59 |              56.41 |              55.05 |              54.35 |          49.69 |              52.78
          200 sentences: |             75.27 |              74.32 |            (54.94) |              56.26 |              53.18 |          53.44 |            (52.23)
          500 sentences: |             78.39 |              75.27 |            (55.56) |            (51.56) |              54.72 |          53.40 |            (46.28)
         1000 sentences: |             79.56 |              77.80 |            (55.20) |            (52.15) |            (51.67) |          54.13 |            (43.38)
         1032 sentences: |           (79.38) |            (77.29) |            (48.81) |            (54.02) |            (50.57) |          52.34 |            (47.38)
         1032 sentences: |           (79.38) |            (77.29) |            (47.86) |            (52.81) |            (50.57) |          54.24 |            (48.89)
         1032 sentences: |           (79.38) |            (77.29) |            (54.54) |            (52.81) |            (50.57) |          54.43 |            (50.65)
             ~ smf sents |              1000 |                443 |            USELESS |            USELESS |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: id-ud12 |               smf |        dlx-id-ud12 |        dlx-hr-ud12 |        dlx-he-ud12 |        dlx-bg-ud12 |    dlx-sl-ud12 |        dlx-it-ud12
           10 sentences: |             54.94 |              54.76 |              39.11 |              44.42 |              30.46 |          36.57 |              40.55
           20 sentences: |             60.64 |              56.86 |              43.65 |              48.09 |              33.49 |          44.06 |              45.65
           50 sentences: |             67.31 |              61.24 |              51.72 |              48.77 |              42.94 |          50.67 |              48.22
          100 sentences: |             71.97 |              63.93 |              54.66 |              46.47 |              43.33 |          53.38 |              50.41
          200 sentences: |             75.37 |              67.02 |              56.86 |              57.76 |              52.64 |          53.73 |              53.52
          500 sentences: |             78.00 |              67.52 |              57.61 |            (53.95) |              48.51 |          55.40 |              52.14
         1000 sentences: |             79.11 |              70.06 |              57.51 |            (54.80) |              41.63 |          54.99 |              54.17
         2000 sentences: |             80.32 |              71.01 |              58.50 |            (52.41) |              43.25 |          54.99 |              55.06
         4477 sentences: |             81.64 |              73.54 |              58.54 |            (55.04) |              47.81 |          56.07 |            (53.34)
         4477 sentences: |           (81.64) |            (73.54) |            (58.54) |            (54.91) |              57.29 |        (55.41) |            (54.70)
             ~ smf sents |              4477 |                146 |                 16 |                 15 |                 14 |             12 |                 10
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: it-ud12 |               smf |        dlx-it-ud12 |        dlx-es-ud12 |        dlx-fr-ud12 |        dlx-ro-ud12 |    dlx-bg-ud12 |        dlx-id-ud12
           10 sentences: |             58.74 |              64.43 |              61.04 |              61.37 |              44.87 |          41.09 |              54.28
           20 sentences: |             65.24 |              66.05 |              62.07 |              64.37 |              59.00 |          44.42 |              55.24
           50 sentences: |             71.16 |              70.49 |              67.98 |              67.84 |              65.77 |          56.87 |              57.87
          100 sentences: |             73.79 |              72.09 |              71.42 |              69.35 |              66.84 |          59.77 |              61.38
          200 sentences: |             77.98 |              75.39 |              71.49 |              70.51 |              67.57 |          61.46 |              64.87
          500 sentences: |             80.47 |              75.74 |              66.44 |              67.07 |              70.24 |          62.22 |              65.24
         1000 sentences: |             82.34 |              77.44 |              67.64 |              72.96 |            (70.24) |          62.11 |              66.77
         2000 sentences: |             84.31 |              77.89 |              68.05 |              73.15 |            (70.24) |          60.40 |              67.08
         5000 sentences: |             87.33 |              80.49 |              70.40 |              73.67 |            (70.24) |          61.73 |              67.85
        11699 sentences: |             89.55 |              83.54 |              76.76 |              75.44 |            (70.24) |          69.04 |            (67.85)
             ~ smf sents |             11699 |               1609 |                171 |                139 |                 45 |             39 |                 33
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: la-ud12 | dlx-la-ud12proiel |                smf | dlx-grc-ud12proiel |        dlx-cu-ud12 |       dlx-got-ud12 |    dlx-id-ud12 |        dlx-la-ud12
           10 sentences: |             35.33 |              33.18 |              38.08 |              41.71 |              40.40 |          43.96 |              31.52
           20 sentences: |             36.37 |              33.37 |              34.28 |              40.01 |              44.11 |          45.66 |              34.32
           50 sentences: |             37.32 |              41.38 |              48.06 |              43.22 |              45.12 |          49.03 |              38.44
          100 sentences: |             42.91 |              44.77 |              49.22 |              44.75 |              49.22 |          48.23 |              41.71
          200 sentences: |             48.06 |              45.56 |              53.54 |              51.64 |              53.48 |          50.58 |              41.54
          500 sentences: |             45.66 |              52.90 |              53.71 |              54.66 |              56.17 |          52.82 |              48.83
         1000 sentences: |             48.70 |              59.98 |              57.10 |              57.60 |              57.10 |          53.50 |              56.44
         2000 sentences: |             53.17 |              60.81 |              59.07 |              57.08 |              58.70 |          57.58 |            (55.61)
         2660 sentences: |             59.57 |              62.96 |              59.15 |              59.07 |            (56.71) |        (56.98) |            (55.43)
         2660 sentences: |             68.96 |            (62.96) |            (57.75) |            (58.84) |            (56.71) |        (56.98) |            (55.43)
             ~ smf sents |           BETTER! |               2660 |                941 |                936 |                910 |            831 |                750
                         |                   |                    |                    |                    |                    |                |                   
    Treebank: la-ud12itt |               smf |     dlx-la-ud12itt |        dlx-la-ud12 |        dlx-pl-ud12 |        dlx-hr-ud12 |    dlx-es-ud12 |        dlx-pt-ud12
           10 sentences: |             33.35 |              31.90 |              28.74 |              34.16 |              36.34 |          37.19 |                   
           20 sentences: |             39.00 |              35.36 |              31.83 |              37.81 |              37.92 |          38.34 |              37.30
           50 sentences: |             45.33 |              42.28 |              36.42 |              39.11 |              39.52 |          38.91 |              40.25
          100 sentences: |             49.26 |              46.01 |              38.95 |              40.51 |              42.02 |          41.60 |              44.24
          200 sentences: |             54.28 |              50.17 |              38.81 |              43.89 |              42.87 |          41.63 |              43.27
          500 sentences: |             61.62 |              57.92 |              43.95 |              44.67 |              42.81 |          39.58 |              45.49
         1000 sentences: |             61.59 |              58.64 |              46.80 |              42.80 |              43.46 |          39.02 |            (44.51)
         2000 sentences: |             68.81 |              63.73 |              47.30 |              44.93 |              45.77 |          38.25 |            (42.91)
         5000 sentences: |             72.48 |              65.89 |              47.92 |              46.34 |            (45.09) |          40.10 |            (42.64)
        14500 sentences: |             79.10 |              71.34 |            (47.92) |              47.35 |            (45.09) |          45.51 |            (41.81)
             ~ smf sents |             14500 |               4068 |                 83 |                 76 |                 56 |             52 |                 52
                         |                   |                    |                    |                    |                    |                |                   
 Treebank: la-ud12proiel |               smf |  dlx-la-ud12proiel | dlx-grc-ud12proiel |       dlx-got-ud12 |        dlx-cu-ud12 |    dlx-la-ud12 |        dlx-bg-ud12
           10 sentences: |             38.91 |              39.20 |              29.15 |              40.62 |              44.23 |          34.06 |              33.18
           20 sentences: |             44.83 |              42.59 |              26.50 |              44.70 |              44.37 |          39.47 |              35.72
           50 sentences: |             48.75 |              45.86 |              42.23 |              46.53 |              47.50 |          43.35 |              39.86
          100 sentences: |             53.09 |              49.35 |              48.80 |              49.06 |              49.17 |          46.06 |              42.85
          200 sentences: |             57.32 |              52.67 |              52.71 |              52.55 |              52.54 |          45.93 |              45.15
          500 sentences: |             59.42 |              54.59 |              54.65 |              55.85 |              54.25 |          49.54 |              45.43
         1000 sentences: |             61.48 |              56.43 |              55.71 |              56.96 |              55.53 |          54.27 |              45.97
         2000 sentences: |             65.94 |              58.01 |              56.81 |              58.10 |              55.71 |          54.94 |              46.92
         5000 sentences: |             71.78 |              62.40 |              59.25 |              58.91 |              57.24 |          55.18 |              49.84
        11986 sentences: |             77.52 |              68.15 |              59.44 |            (58.91) |              57.52 |        (55.18) |              50.07
             ~ smf sents |             11986 |               3135 |                505 |                427 |                229 |            149 |                 65
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: nl-ud12 |               smf |        dlx-nl-ud12 |        dlx-de-ud12 |        dlx-pt-ud12 |        dlx-el-ud12 |    dlx-es-ud12 |        dlx-da-ud12
           10 sentences: |             48.71 |              51.21 |              43.87 |                    |              44.41 |          46.34 |              44.27
           20 sentences: |             54.08 |              53.43 |              41.83 |              49.89 |              48.99 |          47.67 |              44.43
           50 sentences: |             54.35 |              53.31 |              45.93 |              50.86 |              52.95 |          47.95 |              47.99
          100 sentences: |             55.62 |              53.42 |              47.56 |              53.06 |            (50.10) |          51.39 |              49.85
          200 sentences: |             56.69 |              54.99 |              48.53 |            (52.84) |            (50.78) |          52.68 |              51.50
          500 sentences: |             60.06 |              58.97 |              50.69 |            (51.11) |            (48.35) |        (46.95) |              51.21
         1000 sentences: |             64.86 |              63.68 |              49.55 |            (49.01) |            (48.74) |        (46.02) |              51.75
         2000 sentences: |             66.13 |              62.24 |              50.91 |            (47.90) |                 () |        (44.23) |              52.25
         5000 sentences: |             72.61 |              68.67 |              52.32 |            (49.01) |                 () |        (45.09) |            (51.97)
        13000 sentences: |             77.46 |              71.66 |              53.70 |            (49.46) |                 () |        (48.69) |            (51.97)
             ~ smf sents |             13000 |               4560 |                 19 |                 18 |                 18 |             17 |                 17
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: no-ud12 |               smf |        dlx-no-ud12 |        dlx-sv-ud12 |        dlx-hr-ud12 |        dlx-bg-ud12 |    dlx-en-ud12 |        dlx-da-ud12
           10 sentences: |             34.94 |              37.96 |              44.86 |              45.12 |              36.90 |          49.89 |              49.45
           20 sentences: |             42.96 |              46.03 |              54.44 |              50.57 |              39.25 |          48.42 |              55.83
           50 sentences: |             60.90 |              59.37 |              60.24 |              57.97 |              48.30 |          54.71 |              59.27
          100 sentences: |             70.96 |              65.58 |              61.52 |              61.63 |              49.33 |          59.65 |              59.98
          200 sentences: |             75.60 |              68.17 |              61.29 |              63.01 |              57.53 |          60.41 |              61.80
          500 sentences: |             79.02 |              71.24 |              63.28 |              62.83 |              58.74 |          61.35 |              62.06
         1000 sentences: |             82.25 |              73.07 |              64.34 |              62.84 |              57.70 |          61.59 |              62.24
         2000 sentences: |             84.90 |              74.34 |            (63.00) |              63.37 |              52.68 |          61.85 |            (61.51)
         5000 sentences: |             87.06 |              75.97 |            (63.41) |              64.15 |              54.85 |          62.15 |            (61.60)
        15696 sentences: |             89.73 |              79.21 |            (63.41) |            (64.15) |              63.71 |          62.82 |            (61.60)
             ~ smf sents |             15696 |                529 |                 67 |                 66 |                 64 |             60 |                 57
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: pl-ud12 |               smf |        dlx-pl-ud12 |        dlx-sl-ud12 |        dlx-bg-ud12 |        dlx-hr-ud12 |    dlx-cs-ud12 |        dlx-id-ud12
           10 sentences: |             55.02 |              57.57 |              49.47 |              44.64 |              51.92 |          52.95 |              52.66
           20 sentences: |             63.32 |              63.71 |              57.01 |              50.96 |              56.34 |          58.03 |              53.21
           50 sentences: |             69.90 |              68.48 |              65.81 |              60.46 |              64.95 |          61.58 |              56.25
          100 sentences: |             73.25 |              72.22 |              68.52 |              63.89 |              67.85 |          63.64 |              58.10
          200 sentences: |             77.04 |              75.63 |              69.46 |              68.55 |              69.07 |          66.37 |              59.30
          500 sentences: |             81.34 |              79.21 |              71.64 |              69.68 |              67.83 |          67.44 |              59.21
         1000 sentences: |             82.32 |              80.02 |              74.10 |              68.43 |              69.54 |          66.48 |              62.15
         2000 sentences: |             84.49 |              81.24 |              72.78 |              55.04 |              69.78 |          69.66 |              62.86
         5000 sentences: |             86.78 |              83.21 |              73.34 |              55.90 |            (69.76) |        (69.51) |              64.19
         6800 sentences: |             87.67 |              83.57 |              75.01 |              71.03 |            (69.76) |        (69.43) |            (64.19)
             ~ smf sents |              6800 |               1576 |                146 |                 67 |                 49 |             49 |                 24
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: pt-ud12 |               smf |        dlx-es-ud12 |        dlx-it-ud12 |        dlx-pt-ud12 |        dlx-fr-ud12 |    dlx-he-ud12 |        dlx-da-ud12
           10 sentences: |                   |              58.93 |              58.28 |                    |              56.97 |          57.55 |              53.39
           20 sentences: |             66.26 |              60.38 |              61.81 |              64.67 |              58.89 |          56.37 |              56.08
           50 sentences: |             70.65 |              63.89 |              64.43 |              67.64 |              60.63 |          56.56 |              60.99
          100 sentences: |             72.67 |              67.01 |              63.75 |              69.67 |              62.13 |          61.21 |              60.14
          200 sentences: |             75.26 |              67.21 |              66.60 |              70.93 |              63.50 |          63.60 |              62.54
          500 sentences: |             73.81 |              61.74 |              69.67 |            (69.36) |              61.16 |          65.59 |              64.14
         1000 sentences: |             75.03 |              62.00 |              70.82 |            (69.21) |              66.04 |          66.56 |              64.28
         2000 sentences: |             76.76 |              62.63 |              70.86 |            (69.79) |              68.22 |          66.72 |              65.71
         5000 sentences: |             77.71 |              64.02 |              70.28 |            (69.96) |              67.60 |        (65.35) |            (63.79)
         8800 sentences: |             77.76 |              71.71 |              71.17 |            (69.75) |              69.56 |        (65.06) |            (63.79)
             ~ smf sents |              8800 |                 76 |                 63 |                 57 |                 43 |             23 |                 20
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: ro-ud12 |               smf |        dlx-ro-ud12 |        dlx-it-ud12 |        dlx-es-ud12 |        dlx-id-ud12 |    dlx-fr-ud12 |        dlx-bg-ud12
           10 sentences: |             54.24 |              57.57 |              54.75 |              47.87 |              53.37 |          55.33 |              41.50
           20 sentences: |             61.99 |              61.55 |              58.80 |              51.71 |              56.41 |          53.01 |              38.67
           50 sentences: |             67.49 |              65.90 |              61.34 |              55.98 |              57.43 |          58.15 |              47.87
          100 sentences: |             69.09 |              68.58 |              63.73 |              59.96 |              60.61 |          59.60 |              51.42
          200 sentences: |             70.32 |              67.78 |              64.89 |              61.12 |              58.66 |          60.11 |              59.67
          481 sentences: |             74.73 |              70.82 |              64.09 |              56.05 |              59.74 |          56.27 |              58.30
          481 sentences: |           (74.73) |            (70.82) |              64.96 |              53.44 |              62.57 |          60.03 |              58.44
          481 sentences: |           (74.73) |            (70.82) |              67.13 |              54.60 |              62.71 |          58.22 |              53.30
          481 sentences: |           (74.73) |            (70.82) |            (63.80) |              57.07 |              64.02 |          58.95 |              54.82
          481 sentences: |           (74.73) |            (70.82) |            (62.35) |              65.39 |            (64.02) |          63.15 |              62.35
             ~ smf sents |               481 |                232 |                 48 |                 39 |                 31 |             26 |                 22
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: sl-ud12 |               smf |        dlx-sl-ud12 |        dlx-cs-ud12 |        dlx-bg-ud12 |        dlx-hr-ud12 |    dlx-pl-ud12 |        dlx-fi-ud12
           10 sentences: |             54.97 |              53.39 |              43.72 |              39.66 |              48.53 |          37.07 |              25.73
           20 sentences: |             58.47 |              60.31 |              54.80 |              42.52 |              54.99 |          42.29 |              25.36
           50 sentences: |             70.01 |              69.72 |              63.57 |              53.32 |              61.23 |          52.35 |              44.80
          100 sentences: |             74.21 |              73.82 |              65.43 |              55.49 |              63.70 |          53.33 |              50.14
          200 sentences: |             78.33 |              76.10 |              68.70 |              62.66 |              64.36 |          60.45 |              57.38
          500 sentences: |             82.56 |              80.94 |              72.08 |              65.51 |              67.06 |          62.94 |              56.65
         1000 sentences: |             84.89 |              83.19 |              71.84 |              65.11 |              67.24 |          65.25 |              59.88
         2000 sentences: |             86.71 |              84.68 |              73.75 |              60.95 |              68.13 |          64.33 |              61.92
         5000 sentences: |             88.61 |              85.49 |              75.33 |              61.90 |              69.34 |          66.13 |            (58.84)
         6471 sentences: |             89.35 |              85.97 |            (74.86) |              69.75 |            (69.34) |          66.61 |            (56.27)
             ~ smf sents |              6471 |               1593 |                127 |                 49 |                 48 |             41 |                 29
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: sv-ud12 |               smf |        dlx-sv-ud12 |        dlx-da-ud12 |        dlx-no-ud12 |        dlx-en-ud12 |    dlx-bg-ud12 |        dlx-hr-ud12
           10 sentences: |             44.12 |              44.00 |              51.06 |              37.53 |              50.00 |          37.46 |              44.55
           20 sentences: |             51.61 |              54.10 |              57.17 |              44.21 |              48.64 |          41.17 |              51.02
           50 sentences: |             63.64 |              61.51 |              59.30 |              57.82 |              55.24 |          50.02 |              58.01
          100 sentences: |             69.74 |              67.61 |              62.87 |              63.99 |              60.44 |          52.62 |              61.38
          200 sentences: |             72.51 |              69.88 |              65.30 |              64.85 |              63.40 |          55.87 |              63.16
          500 sentences: |             78.34 |              73.74 |              68.61 |              67.42 |              63.46 |          58.48 |              63.03
         1000 sentences: |             81.13 |              76.57 |              70.30 |              68.64 |              64.55 |          58.79 |              63.35
         2000 sentences: |             83.65 |              78.45 |            (69.34) |              68.69 |              66.82 |          54.97 |              63.09
         4303 sentences: |             86.76 |              80.80 |            (67.92) |              69.32 |            (65.17) |          56.20 |              63.75
         4303 sentences: |           (86.76) |            (80.80) |            (67.92) |              69.86 |            (66.08) |          64.38 |            (63.75)
             ~ smf sents |              4303 |                941 |                120 |                104 |                 76 |             56 |                 51
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: ta-ud12 |               smf |        dlx-ta-ud12 |        dlx-hi-ud12 |        dlx-hu-ud12 |        dlx-eu-ud12 | dlx-fi-ud12ftb |        dlx-et-ud12
           10 sentences: |             53.55 |              53.05 |              36.46 |              37.96 |              33.19 |          31.23 |              27.15
           20 sentences: |             60.74 |              58.48 |              40.08 |              41.94 |              38.27 |          31.38 |              36.56
           50 sentences: |             70.84 |              70.84 |              50.94 |              43.29 |              39.22 |          33.19 |              42.79
          100 sentences: |             76.12 |              73.91 |              55.41 |              49.78 |              44.85 |          38.47 |              43.09
          200 sentences: |             77.68 |              74.62 |            (53.75) |              50.53 |              45.45 |          46.21 |              43.19
          400 sentences: |             79.74 |              76.78 |            (54.56) |              51.24 |              50.58 |          47.67 |              46.01
          400 sentences: |           (79.74) |            (76.78) |            (50.58) |              51.79 |            (44.60) |        (44.45) |              46.61
          400 sentences: |           (79.74) |            (76.78) |            (49.23) |            (51.39) |            (48.67) |        (39.87) |            (44.90)
          400 sentences: |           (79.74) |            (76.78) |            (49.38) |            (51.39) |            (41.84) |        (39.42) |            (44.90)
          400 sentences: |           (79.74) |            (76.78) |            (47.21) |            (51.39) |            (43.09) |        (34.65) |            (44.90)
             ~ smf sents |               400 |                142 |                 13 |            USELESS |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
