        Treebank: ar |         smf |         dlx-ar |    dlx-he-ud11 |      dlx-pl | dlx-id-ud11 | dlx-it-ud11 | dlx-ga-ud11
    20126 sentences: |       62.17 |          56.59 |          47.09 |     (44.40) |     (44.33) |     (42.89) |     (42.60)
         ~ smf sents |       20126 |            628 |             39 |          24 |          19 |          19 |          17
                     |             |                |                |             |             |             |            
   Treebank: he-ud11 |         smf |    dlx-he-ud11 |    dlx-es-ud11 | dlx-id-ud11 |      dlx-ca |      dlx-es | dlx-it-ud11
       10 sentences: |       57.85 |          56.57 |          46.17 |       45.41 |       52.77 |       48.47 |       50.61
       20 sentences: |       60.50 |          59.27 |          48.30 |       48.95 |       52.86 |       52.52 |       51.51
       50 sentences: |       65.51 |          64.97 |          49.98 |       52.99 |       51.28 |       50.75 |       52.62
      100 sentences: |       67.08 |          65.16 |          54.29 |       53.72 |       55.54 |       54.17 |       50.06
      200 sentences: |       71.98 |          70.28 |          56.08 |       54.41 |       55.96 |       55.69 |       53.77
      500 sentences: |       76.07 |          73.92 |          51.69 |       55.12 |       57.14 |       55.12 |       53.81
     1000 sentences: |       78.78 |          75.95 |          52.86 |       54.15 |       56.68 |       57.17 |       54.79
     2000 sentences: |       82.53 |          78.23 |          53.27 |       56.18 |       57.63 |       56.95 |       56.62
     5000 sentences: |       84.42 |          79.39 |          55.03 |       57.65 |          () |       57.18 |     (55.36)
     5241 sentences: |       84.50 |          79.60 |          57.94 |     (57.65) |     (56.99) |     (56.67) |     (55.65)
         ~ smf sents |        5241 |           1219 |             10 |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: hi |         smf |         dlx-hi |         dlx-ta | dlx-hu-ud11 |      dlx-tr | dlx-eu-ud11 |      dlx-et
       10 sentences: |       69.33 |          69.07 |          42.66 |       35.98 |       29.16 |       37.94 |       29.14
       20 sentences: |       70.30 |          68.57 |          54.28 |       43.07 |       23.20 |       39.28 |       38.08
       50 sentences: |       76.37 |          72.15 |          63.43 |       54.86 |       31.36 |       43.60 |       46.15
      100 sentences: |       80.08 |          75.67 |          61.01 |       57.00 |       28.11 |       45.97 |       47.50
      200 sentences: |       82.43 |          77.18 |          62.18 |             |       47.73 |       48.81 |       47.51
      500 sentences: |       84.56 |          79.41 |          65.23 |       57.66 |       56.13 |       49.61 |       50.76
     1000 sentences: |       86.11 |          80.43 |        (65.23) |       57.69 |       57.15 |       54.96 |       50.86
     2000 sentences: |       87.41 |          81.36 |        (65.23) |       58.33 |     (53.15) |     (53.49) |     (50.28)
     5000 sentences: |       88.63 |          81.93 |        (65.23) |     (58.33) |     (51.59) |     (44.78) |     (50.28)
    11000 sentences: |       89.43 |          83.89 |        (65.23) |     (58.33) |     (52.80) |     (44.78) |     (50.28)
         ~ smf sents |       11000 |            406 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: hr |         smf |         dlx-hr |    dlx-hr-ud11 |      dlx-sk | dlx-cs-ud11 |      dlx-sl | dlx-bg-ud11
       10 sentences: |       45.20 |          45.55 |          43.91 |       35.81 |       40.96 |       45.40 |       32.85
       20 sentences: |       52.30 |          50.75 |          51.19 |       40.68 |       48.15 |       46.51 |       34.31
       50 sentences: |       62.28 |          61.86 |          59.89 |       46.22 |       51.93 |       52.74 |       45.03
      100 sentences: |       68.46 |          66.50 |          62.19 |       46.51 |       51.16 |       55.04 |       46.32
      200 sentences: |       70.97 |          69.03 |          64.13 |       53.12 |       55.80 |       56.11 |       54.32
      500 sentences: |       74.17 |          70.65 |          67.70 |       55.62 |       58.67 |       59.30 |       54.36
     1000 sentences: |       76.87 |          72.78 |          69.54 |       56.23 |       54.47 |       59.82 |       54.06
     2000 sentences: |       72.28 |          68.50 |          70.00 |       62.13 |       58.47 |       59.83 |       55.09
     2988 sentences: |       84.04 |          79.31 |          73.66 |     (61.20) |       59.73 |     (59.83) |       57.43
     2988 sentences: |     (84.04) |        (79.31) |        (73.66) |     (61.34) |       62.05 |     (59.83) |       58.70
         ~ smf sents |        2988 |           2335 |            452 |          50 |          49 |          43 |          39
                     |             |                |                |             |             |             |            
   Treebank: hr-ud11 |         smf |    dlx-hr-ud11 |         dlx-hr |      dlx-sk | dlx-cs-ud11 |      dlx-sl | dlx-bg-ud11
       10 sentences: |       45.41 |          44.30 |          45.46 |       36.42 |       39.88 |       43.18 |       34.41
       20 sentences: |       53.22 |          52.83 |          50.82 |       43.06 |       42.19 |       44.10 |       35.54
       50 sentences: |       63.79 |          63.13 |          57.27 |       45.90 |       49.80 |       48.85 |       43.59
      100 sentences: |       66.87 |          67.33 |          60.83 |       46.57 |       50.31 |       54.33 |       45.46
      200 sentences: |       69.87 |          69.51 |          62.16 |       51.71 |       55.96 |       55.47 |       53.17
      500 sentences: |       74.62 |          72.51 |          64.05 |       52.88 |       57.14 |       57.90 |       55.28
     1000 sentences: |       78.33 |          75.52 |          64.10 |       54.31 |       52.54 |       58.84 |       53.51
     2000 sentences: |       81.05 |          78.02 |          58.87 |       59.62 |       58.33 |       59.37 |       55.98
     3557 sentences: |       82.38 |          78.31 |          68.59 |       60.22 |       60.03 |     (59.37) |       57.00
     3557 sentences: |     (82.38) |        (78.31) |        (68.59) |       61.27 |     (55.64) |     (59.37) |       58.19
         ~ smf sents |        3557 |            997 |            157 |          43 |          39 |          37 |          34
                     |             |                |                |             |             |             |            
   Treebank: hu-ud11 |         smf |    dlx-hu-ud11 |         dlx-de | dlx-sv-ud11 | dlx-bg-ud11 |      dlx-tr | dlx-cs-ud11
       10 sentences: |       61.00 |          61.40 |          52.15 |       42.02 |       44.48 |       35.16 |       45.88
       20 sentences: |       66.43 |          67.49 |          52.67 |       49.11 |       50.54 |       39.56 |       45.33
       50 sentences: |       70.90 |          68.34 |          53.51 |       53.58 |       54.28 |       47.05 |       50.54
      100 sentences: |       74.68 |          72.89 |          57.51 |       53.55 |       55.64 |       47.86 |       55.09
      200 sentences: |             |                |          56.48 |       57.14 |       54.54 |       51.49 |       55.56
      500 sentences: |       77.66 |          74.83 |          58.46 |     (48.78) |       56.41 |       54.76 |     (48.89)
     1000 sentences: |       79.71 |          76.85 |        (53.62) |     (52.12) |     (55.64) |       53.84 |     (42.72)
     1032 sentences: |     (79.42) |          77.77 |        (57.29) |     (52.37) |     (53.14) |       56.19 |     (49.51)
     1032 sentences: |     (79.42) |        (77.77) |        (57.55) |     (49.91) |     (52.59) |     (53.11) |     (48.67)
     1032 sentences: |     (79.42) |        (77.77) |        (54.17) |     (49.91) |     (52.81) |     (53.44) |     (52.34)
         ~ smf sents |        1000 |            527 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
   Treebank: id-ud11 |         smf |    dlx-id-ud11 |    dlx-hr-ud11 | dlx-he-ud11 |      dlx-es | dlx-it-ud11 | dlx-bg-ud11
       10 sentences: |       54.94 |          54.76 |          38.38 |       44.42 |       41.90 |       43.72 |       30.68
       20 sentences: |       60.64 |          56.86 |          43.09 |       48.09 |       42.10 |       47.72 |       32.93
       50 sentences: |       67.31 |          61.24 |          52.31 |       48.77 |       40.27 |       47.52 |       43.24
      100 sentences: |       71.97 |          63.93 |          54.96 |       46.47 |       53.83 |       49.67 |       45.98
      200 sentences: |       75.37 |          67.02 |          56.41 |       57.34 |       55.45 |       52.50 |       52.48
      500 sentences: |       78.00 |          67.52 |          57.81 |     (54.11) |       53.76 |       52.45 |       50.10
     1000 sentences: |       79.11 |          70.06 |          58.35 |     (54.91) |       55.39 |       53.79 |       43.10
     2000 sentences: |       80.32 |          71.01 |          58.77 |     (51.78) |       55.46 |       55.17 |       48.80
     4477 sentences: |       81.64 |          73.54 |          58.99 |     (54.69) |       55.68 |       54.70 |       51.20
     4477 sentences: |     (81.64) |        (73.54) |        (58.99) |     (55.01) |     (53.36) |       55.35 |       54.55
         ~ smf sents |        4477 |            146 |             17 |          14 |          11 |          11 |     USELESS
                     |             |                |                |             |             |             |            
   Treebank: it-ud11 |         smf |    dlx-it-ud11 |    dlx-es-ud11 | dlx-fr-ud11 |      dlx-es |      dlx-ca | dlx-hr-ud11
       10 sentences: |       58.76 |          64.13 |          59.62 |       61.39 |       62.58 |       61.51 |       44.80
       20 sentences: |       64.49 |          66.73 |          60.53 |       64.31 |       66.21 |       63.48 |       50.91
       50 sentences: |       70.55 |          68.89 |          64.22 |       65.55 |       67.51 |       65.29 |       58.26
      100 sentences: |       74.10 |          71.76 |          68.29 |       66.83 |       69.31 |       68.65 |       59.97
      200 sentences: |       78.11 |          75.02 |          69.86 |       68.23 |       70.43 |       69.41 |       62.42
      500 sentences: |       80.80 |          76.44 |          64.14 |       67.28 |       68.03 |       67.78 |       64.96
     1000 sentences: |       82.69 |          76.66 |          65.31 |       70.37 |       71.07 |       68.54 |       67.06
     2000 sentences: |       84.25 |          78.15 |          68.14 |       71.26 |       72.12 |       68.51 |       67.89
     5000 sentences: |       87.27 |          81.10 |          69.10 |       71.27 |       72.27 |             |     (67.58)
    11330 sentences: |       89.53 |          84.28 |          74.84 |       73.04 |       72.44 |       72.40 |     (67.58)
         ~ smf sents |       11330 |           2030 |            118 |          85 |          77 |          76 |          37
                     |             |                |                |             |             |             |            
        Treebank: ja |         smf |         dlx-ja |         dlx-hi |      dlx-tr |      dlx-ta | dlx-hu-ud11 |      dlx-fa
       10 sentences: |       61.99 |          64.39 |          45.76 |       30.03 |       33.94 |       26.57 |       29.67
       20 sentences: |       74.11 |          73.84 |          37.79 |       27.41 |       37.41 |       38.74 |       34.03
       50 sentences: |       78.87 |          78.29 |          47.40 |       35.34 |       48.33 |       43.10 |       39.58
      100 sentences: |       79.47 |          78.92 |          47.42 |       35.74 |       45.27 |       47.54 |       39.93
      200 sentences: |       81.51 |          79.97 |          49.42 |       47.11 |       49.65 |          () |       41.87
      500 sentences: |       82.55 |          80.66 |          48.25 |       51.57 |       50.68 |     (47.30) |       44.67
     1000 sentences: |       83.51 |          81.60 |          49.87 |       50.50 |     (50.68) |     (47.42) |     (42.34)
     2000 sentences: |       83.81 |          81.67 |          49.17 |       51.59 |     (50.68) |     (47.53) |     (42.57)
     5000 sentences: |       84.33 |          81.92 |          46.77 |       49.47 |     (50.68) |     (47.53) |     (44.04)
    16400 sentences: |       84.39 |          83.20 |          53.80 |       51.89 |     (50.68) |     (47.53) |     (41.52)
         ~ smf sents |       16400 |            839 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: la |         smf |         dlx-la |        dlx-grc |      dlx-pl |      dlx-sk | dlx-cs-ud11 | dlx-bg-ud11
       10 sentences: |       33.31 |          33.67 |          28.72 |       28.11 |       30.93 |       29.49 |       27.57
       20 sentences: |       35.82 |          35.65 |          32.96 |       32.96 |       32.91 |       29.84 |       30.28
       50 sentences: |       37.51 |          38.64 |          35.15 |       33.44 |       34.00 |       30.43 |       32.98
      100 sentences: |       40.56 |          39.91 |          35.80 |       35.38 |       33.69 |       29.87 |       34.79
      200 sentences: |       41.96 |          40.93 |          36.11 |       36.23 |       35.25 |       30.12 |       36.09
      500 sentences: |       43.73 |          42.06 |          37.05 |       36.74 |       36.21 |       29.11 |       33.62
     1000 sentences: |       49.03 |          45.09 |          36.28 |       36.48 |       33.46 |       29.74 |       34.67
     2000 sentences: |       51.67 |          47.43 |          36.80 |       38.18 |       36.69 |       32.14 |       36.25
     2979 sentences: |       52.65 |          47.53 |          39.14 |       40.20 |       34.21 |       34.67 |       36.36
     2979 sentences: |     (52.65) |        (47.53) |          42.44 |     (39.39) |       37.97 |       37.42 |       37.30
         ~ smf sents |        2979 |            858 |            281 |          94 |          58 |          48 |          46
                     |             |                |                |             |             |             |            
     Treebank: la-it |         smf |      dlx-la-it |         dlx-la |      dlx-pl |      dlx-hr |     dlx-grc | dlx-hr-ud11
       10 sentences: |       32.62 |          30.68 |          31.13 |       30.28 |       34.53 |       32.42 |       33.38
       20 sentences: |       32.97 |          30.62 |          33.75 |       32.63 |       34.72 |       35.60 |       35.97
       50 sentences: |       40.45 |          35.91 |          36.17 |       32.60 |       33.52 |       36.66 |       35.16
      100 sentences: |       44.72 |          38.50 |          37.55 |       34.44 |       34.79 |       37.64 |       37.52
      200 sentences: |       49.63 |          42.16 |          38.19 |       36.59 |       37.00 |       38.51 |       36.77
      500 sentences: |       56.63 |          48.92 |          39.60 |       36.32 |       37.72 |       38.19 |       37.85
     1000 sentences: |       57.78 |          48.81 |          40.93 |       37.41 |       38.95 |       38.39 |       37.03
     2000 sentences: |       66.78 |          51.07 |          41.33 |       39.62 |       34.79 |       38.17 |       39.49
     5000 sentences: |       70.91 |          54.14 |        (40.18) |       39.42 |       39.77 |       39.21 |     (37.43)
    14500 sentences: |          () |             () |        (40.18) |       40.01 |     (39.77) |       39.73 |     (37.43)
         ~ smf sents |        5000 |            393 |             60 |          48 |          47 |          47 |          46
                     |             |                |                |             |             |             |            
        Treebank: mt | dlx-it-ud11 |         dlx-es |    dlx-es-ud11 | dlx-id-ud11 | dlx-he-ud11 |      dlx-ca | dlx-hr-ud11
       10 sentences: |       52.19 |          55.32 |          52.49 |       49.06 |       53.05 |       54.12 |       48.08
       20 sentences: |       54.29 |          55.07 |          52.92 |       49.75 |       56.35 |       55.41 |       50.13
       50 sentences: |       57.81 |          55.02 |          54.51 |       53.26 |       56.05 |       56.14 |       55.97
      100 sentences: |       55.71 |          65.87 |          59.61 |       56.18 |       57.81 |       61.88 |       57.17
      200 sentences: |       59.57 |        (64.76) |          58.11 |       59.10 |       62.10 |       61.97 |       58.71
      500 sentences: |       56.31 |        (61.58) |          58.24 |       58.80 |     (60.77) |     (60.43) |       58.54
     1000 sentences: |       58.41 |        (60.85) |          56.82 |       61.07 |     (61.54) |     (59.40) |       58.32
     2000 sentences: |       59.22 |        (62.44) |          58.02 |       61.45 |     (61.50) |     (58.67) |       61.20
     5000 sentences: |       60.81 |        (61.45) |          58.62 |       63.08 |     (59.14) |          () |       61.41
   100000 sentences: |       65.96 |        (61.41) |          63.34 |     (63.08) |     (59.74) |     (59.70) |     (61.41)
         ~ smf sents |     BETTER! |        BETTER! |        BETTER! |     BETTER! |     BETTER! |     BETTER! |     BETTER!
                     |             |                |                |             |             |             |            
        Treebank: nl |         smf |         dlx-nl |    dlx-de-ud11 |      dlx-de |      dlx-en |      dlx-es | dlx-en-ud11
       10 sentences: |       51.05 |          52.20 |          43.78 |       47.74 |       45.50 |       46.56 |       43.42
       20 sentences: |       54.76 |          54.04 |          41.97 |       50.10 |       47.20 |       48.80 |       46.59
       50 sentences: |       54.29 |          53.25 |          46.24 |       50.05 |       48.56 |       49.23 |       46.67
      100 sentences: |       56.14 |          53.72 |          47.90 |       51.93 |       49.75 |       52.48 |       47.04
      200 sentences: |       57.41 |          55.35 |          48.30 |       52.61 |       50.68 |     (49.60) |       48.35
      500 sentences: |       58.93 |          58.75 |          50.59 |       51.39 |       47.99 |     (46.59) |       46.88
     1000 sentences: |       63.23 |          60.79 |          49.69 |       49.62 |       49.03 |     (48.46) |       47.85
     2000 sentences: |       61.01 |          58.68 |          51.12 |       53.27 |       47.26 |     (50.71) |       50.46
     5000 sentences: |       72.70 |          68.72 |          52.18 |       53.61 |       52.48 |     (48.98) |       50.73
    13000 sentences: |       76.71 |          70.52 |          53.81 |     (53.43) |     (52.18) |     (50.93) |       51.97
         ~ smf sents |       13000 |           4309 |             17 |          17 |          14 |          14 |          12
                     |             |                |                |             |             |             |            
        Treebank: pl |         smf |         dlx-pl |         dlx-sk | dlx-hr-ud11 | dlx-bg-ud11 | dlx-cs-ud11 |      dlx-sl
       10 sentences: |       55.29 |          56.61 |          50.36 |       52.35 |       45.53 |       52.77 |       44.89
       20 sentences: |       62.02 |          63.39 |          55.77 |       55.73 |       51.31 |       55.79 |       48.48
       50 sentences: |       68.24 |          67.19 |          58.57 |       63.61 |       61.02 |       59.96 |       57.68
      100 sentences: |       73.09 |          70.94 |          61.84 |       67.27 |       64.04 |       63.18 |       62.43
      200 sentences: |       77.35 |          75.61 |          62.89 |       68.70 |       68.40 |       63.89 |       63.39
      500 sentences: |       80.87 |          78.85 |          66.27 |       67.95 |       69.29 |       64.97 |       67.33
     1000 sentences: |       81.38 |          78.36 |          63.47 |       69.40 |     (65.86) |       54.02 |       67.98
     2000 sentences: |       83.50 |          80.48 |          69.37 |     (68.90) |     (66.62) |       67.62 |       68.61
     5000 sentences: |       89.84 |          85.31 |          70.28 |     (69.26) |     (67.69) |       69.12 |     (68.61)
     6800 sentences: |       90.54 |          86.14 |          74.06 |     (69.26) |     (68.41) |     (68.08) |     (68.61)
         ~ smf sents |        6800 |           3249 |            123 |          62 |          61 |          59 |          54
                     |             |                |                |             |             |             |            
        Treebank: pt |         smf |         dlx-pt |    dlx-es-ud11 | dlx-it-ud11 | dlx-fr-ud11 |      dlx-es |      dlx-ca
       10 sentences: |       60.60 |          58.13 |          57.33 |       59.81 |       56.63 |       60.60 |       58.67
       20 sentences: |       65.37 |          63.39 |          58.42 |       62.27 |       57.21 |       64.45 |       59.27
       50 sentences: |       71.05 |          67.83 |          61.60 |       61.28 |       59.37 |       64.31 |       61.71
      100 sentences: |       72.07 |          68.57 |          63.43 |       62.97 |       60.82 |       66.51 |       65.51
      200 sentences: |       75.22 |          71.88 |          65.78 |       66.07 |       62.39 |       66.84 |       64.52
      500 sentences: |       73.65 |        (69.26) |          60.67 |       69.55 |       62.71 |       65.13 |       62.35
     1000 sentences: |       74.71 |        (69.72) |          60.94 |       70.11 |       66.58 |       66.46 |       64.28
     2000 sentences: |       76.01 |        (69.46) |          63.67 |       70.48 |       67.48 |       67.35 |       64.16
     5000 sentences: |       77.69 |        (69.51) |          64.91 |     (69.56) |       66.96 |       68.05 |            
     8800 sentences: |     (77.59) |        (69.53) |          70.79 |     (70.45) |       68.37 |       68.34 |       67.83
         ~ smf sents |        5000 |             91 |             49 |          47 |          36 |          36 |          33
                     |             |                |                |             |             |             |            
        Treebank: ro |         smf |         dlx-ro |         dlx-es | dlx-es-ud11 |      dlx-la |      dlx-pl | dlx-hr-ud11
       10 sentences: |       62.05 |          61.67 |          49.97 |       53.04 |       48.30 |       42.85 |       43.30
       20 sentences: |       66.56 |          64.32 |          50.76 |       51.07 |       48.57 |       49.93 |       51.07
       50 sentences: |       72.32 |          72.20 |          52.96 |       55.80 |       53.64 |       41.79 |       57.16
      100 sentences: |       77.85 |          73.38 |          60.69 |       61.41 |       61.44 |       48.60 |       57.66
      200 sentences: |       79.66 |          75.50 |          66.71 |       60.23 |       62.43 |       59.13 |       61.18
      500 sentences: |       81.94 |          77.20 |          66.10 |       63.38 |       66.60 |       59.66 |       56.60
     1000 sentences: |       82.20 |          76.94 |          67.58 |       63.07 |     (64.13) |       61.14 |       64.55
     2000 sentences: |       83.91 |          77.20 |          65.69 |       64.36 |     (62.73) |       63.57 |       63.53
     3521 sentences: |     (83.83) |          78.15 |          68.94 |       67.66 |     (63.15) |       66.37 |       65.76
     3521 sentences: |     (83.83) |        (78.15) |        (68.34) |     (66.63) |     (63.15) |     (65.46) |     (65.76)
         ~ smf sents |        2000 |            117 |             32 |          26 |          20 |          20 |          18
                     |             |                |                |             |             |             |            
        Treebank: ru |         smf |         dlx-ru |         dlx-sk | dlx-hr-ud11 |      dlx-pl |      dlx-hr | dlx-cs-ud11
       10 sentences: |       44.42 |          45.38 |          37.63 |       40.87 |       38.76 |       37.66 |       35.52
       20 sentences: |       52.58 |          52.93 |          42.17 |       46.48 |       40.61 |       41.39 |       42.31
       50 sentences: |       58.83 |          55.62 |          46.13 |       53.71 |       40.75 |       49.28 |       48.01
      100 sentences: |       63.02 |          62.73 |          44.02 |       51.54 |       44.57 |       49.95 |       51.07
      200 sentences: |       65.97 |          64.15 |          49.63 |       52.29 |       50.29 |       48.76 |       53.39
      500 sentences: |       70.83 |          65.04 |          55.53 |       54.86 |       51.22 |       55.76 |       53.65
     1000 sentences: |       73.31 |          66.37 |          53.59 |       57.55 |       54.69 |       56.71 |       52.69
     2000 sentences: |       75.51 |          68.48 |          59.72 |       59.09 |       55.64 |       56.86 |       54.83
     5000 sentences: |       80.31 |          70.71 |        (58.56) |       59.11 |       57.47 |       56.92 |       55.99
    33959 sentences: |       84.10 |          74.56 |        (56.34) |     (59.11) |     (57.06) |     (56.92) |       56.83
         ~ smf sents |       33959 |           1568 |             61 |          53 |          43 |          41 |          40
                     |             |                |                |             |             |             |            
        Treebank: sk |      dlx-sk |            smf |    dlx-cs-ud11 | dlx-hr-ud11 |      dlx-hr |      dlx-sl |      dlx-pl
       10 sentences: |       47.06 |          48.04 |          45.44 |       47.83 |       48.42 |       44.86 |       37.73
       20 sentences: |       52.96 |          54.59 |          52.22 |       50.05 |       49.00 |       46.61 |       46.66
       50 sentences: |       56.42 |          58.89 |          55.29 |       54.38 |       51.67 |       52.24 |       48.32
      100 sentences: |       57.89 |          61.50 |          57.72 |       56.05 |       54.14 |       56.92 |       51.00
      200 sentences: |       61.95 |          64.22 |          57.25 |       57.34 |       55.89 |       57.89 |       53.97
      500 sentences: |       65.68 |          68.30 |          58.09 |       58.59 |       59.75 |       59.46 |       54.73
     1000 sentences: |       65.95 |          68.82 |          53.81 |       60.74 |       60.56 |       59.77 |       55.67
     2000 sentences: |       71.74 |          76.58 |          60.93 |       60.19 |     (52.94) |       59.86 |       57.55
     5000 sentences: |       72.99 |          78.81 |          62.14 |       61.08 |     (60.22) |     (59.86) |     (57.21)
    51894 sentences: |       78.93 |             () |          63.15 |     (61.08) |     (60.22) |     (59.86) |     (56.44)
         ~ smf sents |     BETTER! |           5000 |            161 |          92 |          82 |          69 |          41
                     |             |                |                |             |             |             |            
        Treebank: sl |         smf |         dlx-sl |    dlx-cs-ud11 |      dlx-hr |      dlx-sk | dlx-hr-ud11 | dlx-bg-ud11
       10 sentences: |       50.77 |          51.88 |          35.78 |       50.43 |       39.36 |       49.63 |       40.29
       20 sentences: |       56.78 |          56.00 |          48.63 |       53.21 |       48.35 |       54.18 |       44.00
       50 sentences: |       64.90 |          64.65 |          59.14 |       59.03 |       45.40 |       58.58 |       51.73
      100 sentences: |       69.11 |          68.22 |          59.36 |       58.55 |       50.40 |       59.33 |       53.53
      200 sentences: |       72.13 |          70.85 |          61.24 |       62.06 |       59.99 |       59.71 |       57.41
      500 sentences: |       77.38 |          74.07 |          64.20 |       63.49 |       63.45 |       61.68 |       60.33
     1000 sentences: |       79.33 |          75.03 |          54.39 |       63.40 |       59.18 |       62.29 |       58.05
     1200 sentences: |       79.77 |          76.11 |          66.01 |       57.49 |       62.49 |       62.90 |       60.63
     1200 sentences: |     (79.77) |        (76.11) |          67.97 |       65.76 |       65.69 |       63.75 |       60.51
     1200 sentences: |     (79.77) |        (76.11) |          69.91 |     (65.76) |       65.73 |     (63.75) |       60.93
         ~ smf sents |        1200 |            427 |            126 |          60 |          60 |          46 |          35
                     |             |                |                |             |             |             |            
   Treebank: sv-ud11 |         smf |    dlx-sv-ud11 |    dlx-da-ud11 | dlx-en-ud11 | dlx-hr-ud11 |      dlx-ca | dlx-bg-ud11
       10 sentences: |       43.23 |          45.14 |          48.94 |       49.27 |       45.93 |       44.73 |       37.37
       20 sentences: |       50.98 |          53.12 |          53.50 |       48.97 |       51.81 |       47.26 |       40.92
       50 sentences: |       62.28 |          61.02 |          56.64 |       55.66 |       56.94 |       49.74 |       49.84
      100 sentences: |       69.82 |          67.30 |          59.90 |       59.06 |       61.94 |       58.20 |       52.89
      200 sentences: |       72.16 |          69.32 |          61.98 |       62.09 |       62.60 |       57.09 |       56.36
      500 sentences: |       77.70 |          73.15 |          63.47 |       62.70 |       63.75 |       56.87 |       58.62
     1000 sentences: |       80.46 |          75.35 |          66.29 |       65.41 |       64.76 |       58.26 |       59.16
     2000 sentences: |       82.92 |          77.38 |        (64.51) |       65.69 |       64.00 |       57.49 |       60.92
     4303 sentences: |       85.98 |          79.70 |        (62.77) |     (64.17) |       64.83 |             |       62.61
     4303 sentences: |     (85.98) |        (79.70) |        (62.77) |     (64.32) |     (64.83) |       62.84 |       62.66
         ~ smf sents |        4303 |            862 |             77 |          73 |          67 |          54 |          53
                     |             |                |                |             |             |             |            
        Treebank: ta |         smf |         dlx-ta |         dlx-hi | dlx-eu-ud11 |      dlx-tr | dlx-hu-ud11 |      dlx-ja
       10 sentences: |       53.05 |          55.66 |          50.43 |       32.48 |       33.94 |       38.52 |       45.00
       20 sentences: |       59.38 |          63.55 |          46.71 |       39.62 |       36.51 |       43.54 |       42.14
       50 sentences: |       71.25 |          70.89 |          53.10 |       44.75 |       38.37 |       42.64 |       46.16
      100 sentences: |       75.62 |          73.71 |          56.06 |       46.01 |       41.68 |       49.88 |       43.14
      200 sentences: |       76.43 |          73.56 |          56.57 |       47.67 |       42.09 |          () |       41.78
      400 sentences: |       77.13 |          75.42 |        (55.06) |       50.78 |       49.78 |     (49.88) |       42.04
      400 sentences: |     (77.13) |        (75.42) |        (54.50) |       49.68 |       47.67 |     (49.88) |       47.87
      400 sentences: |     (77.13) |        (75.42) |        (52.75) |       53.00 |       47.26 |     (49.73) |     (46.61)
      400 sentences: |     (77.13) |        (75.42) |        (51.04) |     (51.19) |       52.24 |     (49.73) |     (44.75)
      400 sentences: |     (77.13) |        (75.42) |        (49.98) |     (51.19) |       52.69 |     (49.73) |     (42.79)
         ~ smf sents |         400 |             98 |             16 |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: te |         smf |         dlx-te |         dlx-bn |      dlx-la |      dlx-ja |      dlx-ru |      dlx-tr
       10 sentences: |       71.62 |          67.95 |          60.61 |       60.77 |       19.20 |       10.36 |       22.71
       20 sentences: |       70.79 |          66.28 |          63.28 |       65.61 |       16.87 |       16.20 |       28.39
       50 sentences: |       72.79 |          65.28 |          67.28 |       61.27 |       23.54 |        7.85 |       37.07
      100 sentences: |       75.80 |          66.28 |          68.45 |       68.29 |       23.21 |       18.54 |       31.72
      200 sentences: |       76.13 |          67.12 |          68.79 |     (64.95) |       23.71 |       47.92 |       55.26
      500 sentences: |       83.64 |          75.30 |          70.46 |     (60.11) |       66.45 |       60.61 |       62.44
     1000 sentences: |       84.98 |          78.30 |        (69.95) |     (24.71) |       68.12 |       56.77 |     (61.44)
     1300 sentences: |     (84.81) |          78.64 |        (69.95) |     (17.20) |     (63.44) |       61.77 |     (60.61)
     1300 sentences: |     (84.81) |        (78.64) |        (69.95) |     (27.05) |     (59.60) |       64.28 |     (60.11)
     1300 sentences: |     (84.81) |        (78.64) |        (69.95) |     (27.05) |     (51.42) |     (57.93) |     (60.11)
         ~ smf sents |        1000 |            300 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: tr |         smf |         dlx-tr |         dlx-ta | dlx-hu-ud11 |      dlx-bn |      dlx-ja |      dlx-hi
       10 sentences: |       50.48 |          46.78 |          32.16 |       33.82 |       32.62 |       36.39 |       29.94
       20 sentences: |       53.78 |          51.28 |          38.98 |       37.56 |       37.28 |       31.09 |       26.42
       50 sentences: |       59.63 |          55.71 |          47.22 |       46.09 |       41.53 |       42.28 |       42.46
      100 sentences: |       65.48 |          60.50 |          47.93 |       51.72 |       45.39 |       41.55 |       42.35
      200 sentences: |       69.83 |          64.44 |          47.16 |          () |     (42.53) |       40.62 |       41.91
      500 sentences: |       70.18 |          65.35 |          52.43 |     (47.25) |     (36.19) |       42.22 |       39.69
     1000 sentences: |       73.53 |          68.65 |        (52.43) |     (45.70) |     (38.63) |       45.07 |       42.55
     2000 sentences: |       75.63 |          69.21 |        (52.43) |     (46.07) |     (38.63) |     (41.97) |       42.90
