        Treebank: ar |     smf |         dlx-ar |         dlx-pl |      dlx-hr |         dlx-la | dlx-it-ud11 |         dlx-es
   Treebank: he-ud11 |     smf |    dlx-he-ud11 |    dlx-es-ud11 | dlx-id-ud11 |         dlx-es |      dlx-ca |    dlx-it-ud11
       10 sentences: |   39.72 |          39.55 |          23.67 |       23.81 |          22.52 |       24.05 |          22.30
       20 sentences: |   46.13 |          44.57 |          25.51 |       26.43 |          26.64 |       26.59 |          24.10
       50 sentences: |   56.37 |          54.95 |          28.19 |       29.36 |          27.29 |       26.58 |          26.24
      100 sentences: |   59.23 |          57.03 |          30.98 |       30.45 |          30.69 |       30.96 |          26.18
      200 sentences: |   64.72 |          62.23 |          33.18 |       31.64 |          31.95 |       32.38 |          29.17
      500 sentences: |   69.23 |          67.25 |          29.37 |       31.91 |          29.80 |       31.04 |          30.34
     1000 sentences: |   73.07 |          69.61 |          30.02 |       31.99 |          32.97 |       30.36 |          31.26
     2000 sentences: |   77.09 |          71.75 |          30.19 |       32.86 |        (32.81) |       30.83 |          32.25
     5000 sentences: |   79.77 |          73.78 |          31.61 |       33.84 |        (32.85) |             |          32.03
   100000 sentences: |   80.04 |        (73.78) |          35.09 |     (33.84) |        (32.41) |       32.83 |          32.76
         ~ smf sents |  100000 |           1177 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: hi |     smf |         dlx-hi |         dlx-ta |      dlx-tr |         dlx-ja |      dlx-et | dlx-fi-ud11ftb
       10 sentences: |   56.93 |          57.32 |          21.53 |        9.70 |          25.08 |       11.64 |           2.78
       20 sentences: |   58.98 |          57.50 |          34.51 |       11.13 |          28.34 |       20.15 |           6.97
       50 sentences: |   67.88 |          64.32 |          42.66 |       13.44 |          32.31 |       28.70 |          18.19
      100 sentences: |   73.09 |          68.60 |          40.50 |       11.25 |          33.39 |       31.44 |          13.67
      200 sentences: |   76.59 |          70.86 |          42.46 |       20.68 |          31.08 |       32.00 |          11.06
      500 sentences: |   79.74 |          73.57 |          44.44 |       37.26 |          30.36 |       34.44 |          30.44
     1000 sentences: |   82.12 |          75.05 |        (44.44) |       38.80 |          33.09 |     (30.65) |          31.50
     2000 sentences: |   83.90 |          76.23 |        (44.44) |     (36.65) |          35.17 |     (30.57) |          32.30
     5000 sentences: |   85.59 |          77.44 |        (44.44) |     (35.87) |          35.28 |     (30.57) |        (30.68)
   100000 sentences: |   86.80 |          79.67 |        (44.44) |     (37.16) |          37.51 |     (30.57) |        (29.94)
         ~ smf sents |  100000 |            493 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: hr |     smf |         dlx-hr |    dlx-hr-ud11 |      dlx-sk |    dlx-cs-ud11 |      dlx-sl |    dlx-bg-ud11
       10 sentences: |   34.73 |          34.70 |          32.30 |       18.00 |          25.77 |       32.89 |          19.90
       20 sentences: |   43.19 |          42.45 |          39.61 |       28.86 |          35.50 |       36.21 |          18.85
       50 sentences: |   56.86 |          55.20 |          49.21 |       35.25 |          41.82 |       44.17 |          32.68
      100 sentences: |   63.18 |          60.90 |          51.03 |       35.89 |          40.91 |       48.22 |          35.87
      200 sentences: |   66.37 |          63.77 |          52.81 |       42.08 |          47.52 |       48.86 |          43.62
      500 sentences: |   67.04 |          63.43 |          56.30 |       45.83 |          50.98 |       52.15 |          46.03
     1000 sentences: |   70.13 |          65.62 |          57.85 |       47.01 |          47.08 |       52.91 |          44.44
     2000 sentences: |   68.85 |          64.68 |          58.41 |       53.06 |          51.34 |       52.94 |          45.72
     5000 sentences: |   81.16 |          76.03 |          61.27 |     (52.80) |          53.03 |     (52.94) |          46.82
   100000 sentences: | (81.16) |        (76.03) |        (61.27) |     (52.40) |             () |     (52.94) |          48.96
         ~ smf sents |    5000 |           3603 |             85 |          42 |             42 |          41 |             33
                     |         |                |                |             |                |             |               
   Treebank: hr-ud11 |     smf |    dlx-hr-ud11 |         dlx-hr |      dlx-sk |         dlx-sl | dlx-cs-ud11 |         dlx-pl
       10 sentences: |   31.01 |          30.72 |          29.48 |       17.17 |          27.40 |       21.56 |          23.57
       20 sentences: |   39.88 |          40.42 |          35.62 |       28.03 |          30.38 |       27.91 |          25.19
       50 sentences: |   52.34 |          51.96 |          43.35 |       31.45 |          35.88 |       35.76 |          28.76
      100 sentences: |   57.92 |          57.68 |          47.23 |       33.85 |          40.42 |       35.96 |          32.64
      200 sentences: |   61.56 |          59.69 |          48.42 |       37.63 |          42.67 |       42.26 |          39.11
      500 sentences: |   66.65 |          64.32 |          46.60 |       40.13 |          44.88 |       43.23 |          41.36
     1000 sentences: |   70.99 |          67.30 |          46.72 |       41.90 |          45.56 |       38.36 |          39.71
     2000 sentences: |   74.24 |          69.85 |          44.51 |       45.99 |          46.31 |       44.95 |          40.34
     5000 sentences: |   76.10 |        (69.77) |          53.97 |       47.79 |        (46.31) |       45.75 |          44.03
   100000 sentences: | (76.10) |        (69.77) |        (53.97) |       48.01 |        (46.31) |          () |        (43.96)
         ~ smf sents |    5000 |            869 |             65 |          40 |             35 |          34 |             30
                     |         |                |                |             |                |             |               
   Treebank: hu-ud11 |     smf |    dlx-hu-ud11 |         dlx-de | dlx-bg-ud11 |    dlx-cs-ud11 |      dlx-sl |    dlx-de-ud11
       10 sentences: |   40.67 |          44.08 |          22.35 |       10.28 |          12.23 |        8.08 |          21.40
       20 sentences: |   50.61 |          53.36 |          26.61 |       14.32 |          13.58 |       10.87 |          21.51
       50 sentences: |   60.26 |          59.01 |          28.92 |       19.71 |          22.39 |       21.18 |          21.58
      100 sentences: |   66.83 |          64.37 |          31.71 |       23.78 |          27.42 |       26.87 |          23.60
      200 sentences: |         |                |          30.87 |       26.83 |          29.77 |       27.67 |          23.97
      500 sentences: |   71.97 |          68.56 |          33.25 |       30.83 |        (25.22) |       29.11 |          24.96
     1000 sentences: |   74.87 |          70.90 |        (25.91) |     (26.21) |        (20.00) |     (28.96) |          24.81
     2000 sentences: |   75.01 |          71.89 |        (32.01) |     (24.56) |        (26.32) |     (28.70) |          28.96
     5000 sentences: | (75.01) |        (71.89) |        (32.34) |     (25.22) |        (26.39) |     (28.70) |        (27.71)
   100000 sentences: | (75.01) |        (71.89) |        (31.20) |     (25.99) |             () |     (28.70) |        (28.74)
         ~ smf sents |    2000 |            495 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
   Treebank: id-ud11 |     smf |    dlx-id-ud11 |    dlx-it-ud11 | dlx-hr-ud11 |    dlx-he-ud11 | dlx-es-ud11 |         dlx-es
       10 sentences: |   44.16 |          43.53 |          25.62 |       19.32 |          21.64 |       25.86 |          22.63
       20 sentences: |   51.08 |          47.68 |          30.27 |       21.78 |          27.20 |       28.61 |          25.90
       50 sentences: |   59.91 |          52.82 |          32.54 |       31.15 |          28.16 |       29.74 |          26.57
      100 sentences: |   65.73 |          56.52 |          36.63 |       33.61 |          29.37 |       29.98 |          36.01
      200 sentences: |   69.32 |          59.74 |          40.35 |       34.45 |          37.39 |       32.51 |          36.33
      500 sentences: |   72.43 |          61.05 |          40.17 |       37.65 |          35.68 |       27.35 |          31.71
     1000 sentences: |   73.68 |          63.69 |          39.29 |       38.43 |          37.54 |       27.41 |          36.30
     2000 sentences: |   75.28 |          64.88 |          40.65 |       38.93 |        (36.02) |       29.32 |          35.07
     5000 sentences: |   76.86 |          67.72 |        (39.87) |       39.35 |        (37.31) |       30.61 |          37.08
   100000 sentences: | (76.86) |        (67.72) |        (40.33) |     (39.35) |        (37.42) |       37.32 |        (35.69)
         ~ smf sents |    5000 |            155 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
   Treebank: it-ud11 |     smf |    dlx-it-ud11 |    dlx-es-ud11 | dlx-fr-ud11 |         dlx-es |      dlx-ca |    dlx-en-ud11
       10 sentences: |   48.01 |          52.40 |          47.66 |       48.89 |          50.25 |       48.74 |          43.53
       20 sentences: |   54.37 |          56.86 |          51.13 |       53.12 |          55.97 |       52.01 |          46.99
       50 sentences: |   61.99 |          61.27 |          54.99 |       56.58 |          57.94 |       55.27 |          53.74
      100 sentences: |   67.53 |          65.33 |          58.70 |       57.46 |          59.70 |       58.28 |          54.29
      200 sentences: |   72.25 |          69.35 |          60.46 |       59.33 |          60.70 |       59.30 |          55.65
      500 sentences: |   76.36 |          71.95 |          54.68 |       56.88 |          56.06 |       55.75 |          55.80
     1000 sentences: |   78.77 |          72.55 |          55.94 |       62.09 |          61.10 |       56.60 |          55.64
     2000 sentences: |   80.70 |          73.88 |          57.83 |       63.29 |          61.40 |       56.72 |          56.92
     5000 sentences: |   84.55 |          77.21 |          58.99 |       63.10 |          62.22 |             |          58.04
   100000 sentences: |   87.32 |          80.61 |          66.09 |       65.18 |          62.64 |       62.33 |        (57.12)
         ~ smf sents |  100000 |           1953 |             87 |          79 |             56 |          53 |             34
                     |         |                |                |             |                |             |               
        Treebank: ja |     smf |         dlx-ja |         dlx-hi |      dlx-tr |         dlx-ta |      dlx-fa |    dlx-fi-ud11
       10 sentences: |   47.84 |          48.47 |          30.51 |       17.37 |          17.90 |       16.36 |          13.00
       20 sentences: |   61.20 |          59.47 |          24.01 |       19.86 |          19.90 |       22.79 |          14.91
       50 sentences: |   71.80 |          68.82 |          32.91 |       23.00 |          33.54 |       26.60 |          16.15
      100 sentences: |   75.89 |          71.53 |          33.75 |       19.06 |          29.98 |       26.53 |          23.33
      200 sentences: |   80.60 |          74.84 |          36.13 |       26.41 |          33.01 |       30.54 |          27.48
      500 sentences: |   83.70 |          77.28 |          37.58 |       36.04 |          33.92 |       31.70 |          28.93
     1000 sentences: |   85.52 |          79.03 |          38.77 |       36.69 |        (33.92) |       31.44 |          27.50
     2000 sentences: |   74.34 |          68.01 |          35.92 |       36.69 |        (33.92) |       31.16 |          30.63
     5000 sentences: |   75.53 |          68.89 |          34.38 |       36.22 |        (33.92) |       32.10 |        (30.00)
   100000 sentences: |   88.54 |          83.23 |          38.93 |       38.19 |        (33.92) |     (29.54) |        (30.33)
         ~ smf sents |  100000 |            455 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: la |     smf |         dlx-la |        dlx-grc |      dlx-pl |         dlx-sk |      dlx-hr |         dlx-de
       10 sentences: |   19.68 |          18.78 |          13.20 |       14.04 |          13.26 |       16.46 |          13.47
       20 sentences: |   24.58 |          22.87 |          18.51 |       17.65 |          18.65 |       16.42 |          17.17
       50 sentences: |   27.40 |          26.59 |          22.43 |       20.57 |          20.07 |       19.97 |          22.39
      100 sentences: |   32.56 |          30.26 |          23.85 |       22.72 |          21.85 |       22.14 |          23.50
      200 sentences: |   34.31 |          31.39 |          25.88 |       25.10 |          23.93 |       23.87 |          23.45
      500 sentences: |   38.53 |          34.17 |          26.42 |       26.23 |          27.07 |       22.68 |          25.98
     1000 sentences: |   44.52 |          37.65 |          27.09 |       27.03 |          24.25 |       23.31 |          24.71
     2000 sentences: |   48.49 |          40.62 |          28.28 |       27.94 |          27.59 |       23.93 |          26.32
     5000 sentences: |   49.87 |          41.54 |          30.83 |       31.97 |          26.42 |       26.50 |          26.04
   100000 sentences: | (49.87) |        (41.54) |          33.23 |     (31.18) |          29.78 |     (26.50) |          26.34
         ~ smf sents |    5000 |            751 |            138 |          94 |             73 |          40 |             39
                     |         |                |                |             |                |             |               
     Treebank: la-it |     smf |      dlx-la-it |         dlx-la |     dlx-grc |         dlx-pl |      dlx-sk |    dlx-hr-ud11
       10 sentences: |   20.02 |          18.93 |          17.58 |       14.10 |          18.67 |       19.20 |          18.90
       20 sentences: |   22.62 |          20.99 |          19.66 |       22.24 |          20.37 |       22.58 |          20.40
       50 sentences: |   30.75 |          26.44 |          23.78 |       24.58 |          21.39 |       24.17 |          20.40
      100 sentences: |   36.15 |          29.79 |          26.71 |       26.01 |          22.26 |       22.89 |          24.51
      200 sentences: |   41.87 |          33.49 |          28.06 |       28.19 |          23.75 |       22.12 |          24.84
      500 sentences: |   50.56 |          39.87 |          30.86 |       28.09 |          24.54 |       27.58 |          25.93
     1000 sentences: |   50.42 |          38.83 |          31.26 |       28.12 |          23.98 |       26.38 |          26.08
     2000 sentences: |   62.74 |          44.06 |          31.77 |       28.29 |          25.05 |       28.02 |          27.21
     5000 sentences: |   67.45 |          47.34 |        (31.30) |       30.21 |          27.41 |     (27.34) |        (26.25)
   100000 sentences: |      () |             () |        (31.30) |       30.24 |          28.20 |     (27.54) |        (26.25)
         ~ smf sents |    5000 |            389 |             59 |          48 |             41 |          40 |             37
                     |         |                |                |             |                |             |               
        Treebank: mt |  dlx-ja |         dlx-hi |         dlx-tr |     dlx-grc |         dlx-ar |      dlx-de |         dlx-bn
       10 sentences: |    5.42 |           5.35 |           6.58 |        4.85 |          10.66 |        4.99 |           5.80
       20 sentences: |    5.53 |           5.46 |           6.29 |        5.06 |         (6.10) |        5.47 |           5.48
       50 sentences: |    8.03 |           8.01 |           6.94 |        4.92 |        (10.20) |        5.49 |           7.35
      100 sentences: |    9.13 |           7.80 |           5.32 |        5.56 |         (5.49) |        5.61 |           9.21
      200 sentences: |   16.78 |           7.33 |           5.67 |        5.40 |         (5.58) |        5.51 |           5.76
      500 sentences: |   22.37 |           7.55 |          10.05 |        5.80 |         (3.09) |        5.15 |          10.03
     1000 sentences: |   15.50 |           7.98 |          10.85 |        8.63 |         (5.82) |        5.40 |          10.05
     2000 sentences: |   13.42 |          23.89 |          12.71 |        8.37 |         (7.24) |        5.82 |        (10.05)
     5000 sentences: |   15.72 |        (15.58) |        (11.95) |       12.58 |         (5.89) |        6.22 |        (10.05)
   100000 sentences: |   25.29 |        (14.78) |        (11.10) |     (11.63) |         (6.30) |       10.22 |        (10.05)
         ~ smf sents | BETTER! |        BETTER! |        BETTER! |     BETTER! |        BETTER! |     BETTER! |        BETTER!
                     |         |                |                |             |                |             |               
        Treebank: nl |     smf |         dlx-nl |         dlx-en |      dlx-de |    dlx-de-ud11 |      dlx-es |         dlx-pt
       10 sentences: |   35.39 |          39.16 |          35.42 |       34.42 |          30.68 |       32.74 |          32.40
       20 sentences: |   43.03 |          44.02 |          39.18 |       39.86 |          31.52 |       36.96 |          35.94
       50 sentences: |   43.14 |          43.34 |          41.12 |       39.99 |          34.56 |       39.65 |          40.02
      100 sentences: |   45.59 |          45.04 |          42.15 |       42.62 |          36.94 |       42.71 |          42.26
      200 sentences: |   48.19 |          46.84 |          43.26 |       42.67 |          38.38 |       40.36 |          43.55
      500 sentences: |   51.45 |          52.63 |          40.01 |       43.23 |          40.65 |       37.09 |        (41.53)
     1000 sentences: |   56.32 |          54.22 |          40.09 |       38.66 |          40.69 |       41.19 |        (40.35)
     2000 sentences: |   54.10 |          51.41 |          40.24 |       44.57 |          41.35 |       43.50 |        (40.35)
     5000 sentences: |   67.56 |          63.23 |          45.57 |       44.91 |          42.60 |       42.12 |        (40.97)
   100000 sentences: |   73.42 |          65.95 |        (44.32) |     (44.61) |          44.27 |       43.93 |        (39.90)
         ~ smf sents |  100000 |           4570 |            100 |          86 |             73 |          66 |             58
                     |         |                |                |             |                |             |               
        Treebank: pl |     smf |         dlx-pl |         dlx-sk | dlx-cs-ud11 |         dlx-sl |      dlx-hr |    dlx-hr-ud11
       10 sentences: |   40.10 |          42.01 |          30.33 |       31.03 |          31.00 |       38.65 |          35.65
       20 sentences: |   49.27 |          50.33 |          40.48 |       40.94 |          34.99 |       42.26 |          39.60
       50 sentences: |   58.92 |          57.32 |          43.96 |       47.01 |          44.79 |       47.45 |          48.09
      100 sentences: |   65.63 |          62.80 |          46.71 |       51.01 |          51.18 |       51.53 |          53.02
      200 sentences: |   70.65 |          67.53 |          49.11 |       52.63 |          52.22 |       53.05 |          54.87
      500 sentences: |   75.77 |          71.65 |          53.91 |       54.62 |          54.77 |       45.95 |          54.69
     1000 sentences: |   68.19 |          63.14 |          51.84 |       41.23 |          55.59 |       46.30 |          55.01
     2000 sentences: |   70.99 |          65.64 |          56.75 |       56.32 |          56.39 |       40.73 |          54.87
     5000 sentences: |   87.45 |          80.48 |          57.95 |       57.64 |        (56.39) |       55.76 |          55.08
   100000 sentences: |   88.77 |          81.83 |          61.94 |          () |        (56.39) |     (55.76) |        (55.08)
         ~ smf sents |  100000 |           3554 |             73 |          46 |             42 |          40 |             38
                     |         |                |                |             |                |             |               
        Treebank: pt |     smf |         dlx-pt |    dlx-it-ud11 |      dlx-es |    dlx-es-ud11 |      dlx-ca |         dlx-en
       10 sentences: |   48.96 |          48.19 |          47.64 |       49.79 |          45.46 |       48.27 |          40.01
       20 sentences: |   58.35 |          56.61 |          51.70 |       54.60 |          48.02 |       50.90 |          48.39
       50 sentences: |   65.37 |          61.65 |          52.31 |       56.49 |          51.22 |       55.30 |          50.95
      100 sentences: |   67.36 |          63.26 |          55.09 |       58.84 |          53.34 |       57.97 |          54.21
      200 sentences: |   70.67 |          66.31 |          58.30 |       59.32 |          55.45 |       57.36 |          55.47
      500 sentences: |   66.89 |        (62.08) |          61.54 |       55.02 |          50.70 |       52.43 |          52.37
     1000 sentences: |   68.54 |        (62.71) |          61.94 |       59.06 |          50.83 |       54.27 |          53.51
     2000 sentences: |   69.82 |        (63.02) |          62.18 |       59.85 |          53.25 |       54.92 |          53.81
     5000 sentences: |   71.49 |        (63.60) |          61.74 |       61.45 |          55.01 |             |          59.92
   100000 sentences: |   71.66 |        (64.86) |          63.09 |       62.34 |          61.02 |       60.85 |          60.27
         ~ smf sents |  100000 |             74 |             40 |          37 |             31 |          31 |             28
                     |         |                |                |             |                |             |               
        Treebank: ro |     smf |         dlx-ro |         dlx-es | dlx-bg-ud11 |    dlx-es-ud11 | dlx-hr-ud11 |    dlx-it-ud11
       10 sentences: |   48.64 |          47.51 |          37.69 |       21.07 |          35.31 |       25.04 |          32.13
       20 sentences: |   54.82 |          55.57 |          39.89 |       18.94 |          39.10 |       31.75 |          39.74
       50 sentences: |   66.82 |          65.95 |          44.36 |       21.82 |          43.79 |       37.47 |          41.22
      100 sentences: |   73.68 |          68.87 |          52.24 |       25.38 |          50.16 |       39.29 |          48.60
      200 sentences: |   77.24 |          71.60 |          57.43 |       33.87 |          48.68 |       46.67 |          48.00
      500 sentences: |   79.51 |          74.06 |          56.97 |       47.88 |          50.42 |       45.31 |          52.05
     1000 sentences: |   80.84 |          73.91 |          58.34 |       45.19 |          49.17 |       51.56 |        (51.18)
     2000 sentences: |   82.50 |          74.89 |        (56.52) |       47.24 |          51.25 |       50.35 |        (50.35)
     5000 sentences: |   82.92 |          75.80 |        (57.77) |       50.04 |          53.53 |       53.11 |        (51.90)
   100000 sentences: | (82.92) |        (75.80) |        (55.99) |       55.31 |        (52.85) |     (53.11) |        (51.18)
         ~ smf sents |    5000 |            160 |             29 |          21 |             18 |          17 |             16
                     |         |                |                |             |                |             |               
        Treebank: ru |     smf |         dlx-ru |         dlx-sk | dlx-hr-ud11 |         dlx-hr |      dlx-pl |         dlx-de
       10 sentences: |   32.25 |          32.63 |          16.69 |       22.85 |          24.18 |       25.28 |          22.53
       20 sentences: |   40.66 |          38.47 |          25.83 |       28.55 |          28.23 |       29.01 |          31.38
       50 sentences: |   47.37 |          43.61 |          30.40 |       36.73 |          36.10 |       30.14 |          33.90
      100 sentences: |   53.21 |          50.67 |          31.27 |       37.51 |          38.76 |       34.22 |          39.85
      200 sentences: |   56.86 |          53.79 |          35.81 |       39.74 |          38.29 |       39.07 |          39.07
      500 sentences: |   62.61 |          55.12 |          41.21 |       41.91 |          43.27 |       40.29 |          40.14
     1000 sentences: |   65.59 |          56.42 |          41.71 |       45.70 |          44.66 |       43.38 |          42.40
     2000 sentences: |   68.72 |          59.29 |          46.77 |       46.39 |          45.41 |       43.56 |          42.52
     5000 sentences: |   74.59 |          63.11 |        (46.19) |       46.51 |        (45.26) |       44.74 |          44.13
   100000 sentences: |   80.25 |          68.28 |        (44.92) |     (46.51) |        (45.26) |       45.00 |        (42.69)
         ~ smf sents |  100000 |           1859 |             47 |          46 |             41 |          39 |             36
                     |         |                |                |             |                |             |               
        Treebank: sk |     smf |         dlx-sk |    dlx-cs-ud11 |      dlx-sl |         dlx-hr | dlx-hr-ud11 |         dlx-pl
       10 sentences: |   26.15 |          26.03 |          22.71 |       28.50 |          31.06 |       30.45 |          25.59
       20 sentences: |   39.05 |          37.97 |          35.21 |       31.71 |          34.09 |       32.42 |          30.28
       50 sentences: |   45.30 |          44.14 |          41.12 |       38.86 |          38.26 |       38.00 |          35.42
      100 sentences: |   50.57 |          47.54 |          45.00 |       44.70 |          41.73 |       41.28 |          38.68
      200 sentences: |   55.73 |          52.69 |          45.70 |       46.43 |          43.76 |       43.72 |          41.43
      500 sentences: |   60.89 |          57.68 |          47.34 |       48.32 |          42.81 |       45.10 |          43.07
     1000 sentences: |   61.53 |          57.93 |          41.81 |       49.49 |          43.74 |       46.78 |          40.17
     2000 sentences: |   70.45 |          64.52 |          50.45 |       49.69 |          40.43 |       46.69 |          41.64
     5000 sentences: |   72.70 |          65.62 |          51.45 |     (49.69) |          48.41 |       47.39 |          46.42
   100000 sentences: |      () |          72.58 |             () |     (49.69) |        (48.41) |     (47.39) |        (45.61)
         ~ smf sents |    5000 |           4840 |            117 |          92 |             80 |          70 |             61
                     |         |                |                |             |                |             |               
        Treebank: sl |     smf |         dlx-sl |    dlx-cs-ud11 |      dlx-hr |         dlx-sk | dlx-hr-ud11 |         dlx-pl
       10 sentences: |   34.40 |          34.54 |          19.52 |       33.17 |          18.69 |       31.49 |          18.41
       20 sentences: |   42.65 |          43.54 |          32.43 |       40.71 |          30.19 |       36.55 |          21.91
       50 sentences: |   55.69 |          56.22 |          47.24 |       46.80 |          30.47 |       43.35 |          32.68
      100 sentences: |   61.57 |          59.83 |          49.46 |       47.92 |          35.51 |       44.95 |          32.54
      200 sentences: |   65.29 |          63.31 |          52.31 |       51.35 |          47.17 |       47.06 |          40.58
      500 sentences: |   72.49 |          67.97 |          56.08 |       48.53 |          52.98 |       49.07 |          45.48
     1000 sentences: |   74.81 |          69.75 |          46.66 |       49.33 |          48.71 |       49.80 |          41.02
     2000 sentences: |   75.47 |          70.44 |          58.46 |       48.00 |          53.37 |       50.41 |          43.35
     5000 sentences: | (75.47) |        (70.44) |          60.88 |       56.77 |          56.42 |       50.88 |          49.82
   100000 sentences: | (75.47) |        (70.44) |             () |     (56.77) |          56.70 |     (50.88) |        (49.65)
         ~ smf sents |    2000 |            415 |             94 |          59 |             59 |          39 |             36
                     |         |                |                |             |                |             |               
   Treebank: sv-ud11 |     smf |    dlx-sv-ud11 |    dlx-en-ud11 | dlx-da-ud11 |         dlx-ca |      dlx-en |    dlx-de-ud11
       10 sentences: |   27.64 |          29.59 |          33.86 |       31.65 |          28.26 |       32.22 |          33.14
       20 sentences: |   35.27 |          36.83 |          36.36 |       39.19 |          31.64 |       40.24 |          33.11
       50 sentences: |   49.67 |          48.82 |          43.96 |       44.13 |          35.99 |       43.81 |          35.47
      100 sentences: |   60.04 |          57.30 |          47.16 |       47.63 |          44.14 |       45.03 |          40.17
      200 sentences: |   63.82 |          59.30 |          49.86 |       50.21 |          42.36 |       45.71 |          43.53
      500 sentences: |   70.68 |          63.41 |          50.04 |       50.85 |          39.37 |       43.15 |          45.98
     1000 sentences: |   74.66 |          66.66 |          52.29 |       52.47 |          39.89 |       43.25 |          46.27
     2000 sentences: |   78.48 |          69.52 |          52.70 |     (48.88) |          39.08 |       44.04 |          48.48
     5000 sentences: |   82.42 |          72.53 |        (50.85) |     (44.92) |                |       49.31 |        (47.84)
   100000 sentences: | (82.42) |        (72.53) |        (51.73) |     (44.92) |          49.71 |     (48.59) |        (47.93)
         ~ smf sents |    5000 |            732 |             65 |          64 |             50 |          49 |             48
                     |         |                |                |             |                |             |               
        Treebank: ta |     smf |         dlx-ta |    dlx-eu-ud11 |      dlx-tr |         dlx-et |      dlx-hi |         dlx-ja
       10 sentences: |   38.42 |          40.38 |          17.40 |       15.14 |          14.03 |       26.45 |          21.88
       20 sentences: |   47.32 |          50.68 |          24.59 |       19.01 |          21.17 |       25.55 |          22.38
       50 sentences: |   62.25 |          59.83 |          26.55 |       22.48 |          28.81 |       31.48 |          26.55
      100 sentences: |   67.83 |          64.96 |          27.56 |       25.19 |          30.02 |       33.64 |          24.89
      200 sentences: |   71.20 |          65.92 |          28.71 |       26.55 |          31.33 |     (33.34) |          23.84
      500 sentences: |   72.30 |          67.88 |          33.39 |       32.94 |          33.89 |     (33.34) |          26.55
     1000 sentences: | (72.30) |        (67.88) |          31.13 |       32.89 |        (31.03) |     (33.49) |          31.43
     2000 sentences: | (72.30) |        (67.88) |          34.90 |       32.58 |        (29.82) |     (31.43) |        (29.17)
     5000 sentences: | (72.30) |        (67.88) |        (34.04) |       34.24 |        (29.82) |     (29.77) |        (27.51)
   100000 sentences: | (72.30) |        (67.88) |        (34.04) |       34.70 |        (29.82) |     (29.17) |        (31.28)
         ~ smf sents |     500 |            101 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: te |     smf |         dlx-te |         dlx-bn |      dlx-ja |         dlx-la |      dlx-tr |         dlx-de
       10 sentences: |   39.07 |          41.74 |          35.23 |        6.02 |          29.39 |        6.18 |           6.18
       20 sentences: |   44.41 |          43.74 |          42.58 |        6.02 |          35.40 |        9.85 |           9.02
       50 sentences: |   48.92 |          44.91 |          43.74 |       12.03 |          36.90 |       16.03 |          16.53
      100 sentences: |   52.59 |          47.92 |          43.58 |       10.02 |          41.07 |       13.69 |          19.04
      200 sentences: |   57.43 |          52.09 |          47.08 |       11.86 |        (38.74) |       29.89 |           9.52
      500 sentences: |   66.12 |          55.43 |          47.08 |       28.55 |        (35.90) |       39.07 |          31.06
     1000 sentences: |   68.95 |          63.11 |          47.75 |       45.41 |        (12.53) |     (37.40) |          29.89
     2000 sentences: |   70.46 |          63.44 |        (47.75) |     (42.41) |         (7.52) |     (32.39) |          36.40
     5000 sentences: | (70.46) |        (63.44) |        (47.75) |     (38.40) |        (15.86) |     (33.06) |        (34.40)
   100000 sentences: | (70.46) |        (63.44) |        (47.75) |     (35.06) |        (15.86) |     (32.39) |        (35.23)
         ~ smf sents |    2000 |            407 |             42 |          27 |             14 |          10 |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: tr |     smf |         dlx-tr |         dlx-ta |      dlx-hi |         dlx-ja |      dlx-la | dlx-fi-ud11ftb
       10 sentences: |   41.04 |          36.50 |          19.30 |       18.09 |          16.49 |       14.87 |          10.44
       20 sentences: |   43.83 |          40.51 |          29.90 |       15.27 |          16.89 |       18.09 |          16.05
       50 sentences: |   54.54 |          50.86 |          38.67 |       28.35 |          29.36 |       16.78 |          26.66
      100 sentences: |   59.06 |          53.23 |          38.65 |       31.34 |          30.23 |       30.25 |          24.49
      200 sentences: |   63.62 |          57.17 |          36.92 |       29.87 |          30.23 |     (25.89) |          25.46
      500 sentences: |   69.56 |          62.71 |          40.62 |       26.82 |          30.49 |     (23.54) |          29.96
     1000 sentences: |   75.03 |          69.09 |        (40.62) |       33.60 |        (30.21) |     (19.57) |        (29.67)
     2000 sentences: |   77.58 |          68.89 |        (40.62) |     (32.25) |        (25.95) |     (16.78) |        (28.94)
     5000 sentences: |   78.60 |          69.74 |        (40.62) |     (30.67) |        (23.96) |     (19.70) |        (29.54)
   100000 sentences: | (78.56) |        (69.47) |        (40.62) |     (30.45) |        (29.92) |     (19.70) |        (28.35)
         ~ smf sents |    5000 |            516 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
